Id,Prediction
0,4550327.83853
1,3761833.81108
2,4200341.65878
3,3764678.36708
4,4237300.41512
5,4168903.63283
6,3965983.02556
7,4319596.50155
8,4498510.40226
9,3651649.62431
10,3884597.63335
11,4128650.58894
12,5100137.95466
13,5160605.77113
14,4106118.37965
15,3847288.23784
16,5089804.05197
17,3542008.77735
18,4153759.24463
19,4448979.88814
20,4051458.34855
21,4397975.39858
22,4595090.54603
23,4611825.30161
24,4222912.17005
25,4105881.00721
26,3541000.09738
27,4418951.35775
28,4019855.28043
29,4315529.17593
30,4817605.41148
31,3364131.93187
32,3910901.642
33,4159604.00583
34,4039071.58271
35,3993288.78782
36,3860155.94809
37,3876274.82615
38,3498712.8523
39,4101523.64742
40,4423932.61572
41,4224845.91327
42,3878223.8436
43,5698990.80625
44,5172077.16566
45,3822282.70086
46,4051646.64018
47,3797136.50888
48,4556948.13039
49,4383422.92566
50,4771593.78399
51,4351024.23253
52,4143334.49665
53,3531916.45799
54,3446171.82804
55,3977885.44895
56,4577773.59291
57,4300234.68621
58,4053821.783
59,5156190.54579
60,3323590.872
61,3950347.39014
62,3402784.61417
63,3902273.97224
64,4333343.72474
65,5559402.64845
66,5278619.19637
67,5441075.45893
68,4267938.19807
69,3920517.41243
70,3968787.33906
71,4323720.43673
72,4457018.19589
73,3719150.17188
74,5618036.30083
75,4401779.38475
76,4347262.34379
77,3557103.90371
78,4333371.13799
79,4612818.92848
80,4595674.79945
81,4157813.99696
82,4203464.52546
83,5581064.86098
84,5541017.86237
85,3357583.60341
86,4843890.29203
87,4306422.96737
88,4456465.773
89,3511163.66553
90,4669925.08157
91,4759717.48384
92,3761607.27272
93,5147017.17701
94,4291852.1449
95,4161489.75194
96,4561335.85843
97,4406431.92549
98,3024714.72937
99,4162962.32026
100,4069057.1111
101,3160850.70916
102,3819102.27969
103,3846276.15182
104,3953950.55747
105,3449779.20428
106,4945148.58932
107,4655513.80056
108,4773665.09519
109,4403872.96888
110,5103127.94131
111,4370638.8578
112,4794784.02985
113,4472633.86776
114,3827602.86158
115,5546337.78316
116,3500080.22564
117,4851328.07715
118,3925793.76845
119,4466153.32945
120,4626675.9042
121,4926510.33679
122,4058826.99314
123,6313806.48838
124,3642595.58383
125,3443924.94723
126,3543893.86164
127,4011583.47275
128,3646160.66342
129,3838086.91176
130,2911403.07528
131,4048470.19803
132,5378137.91403
133,3224747.25155
134,3501668.15368
135,3831080.42078
136,4135426.66444
137,3595753.85434
138,4751114.28227
139,4259234.7866
140,4472248.69761
141,3682944.70978
142,4167409.38872
143,3659310.92446
144,4672837.99696
145,3729691.43718
146,4376109.91341
147,2666768.72289
148,5120582.78796
149,5087725.14969
150,3623625.55757
151,3988784.7176
152,5130824.65474
153,4870812.09802
154,3718010.61673
155,4694164.37749
156,4494812.32511
157,4520461.23946
158,3529702.78688
159,4197339.01526
160,4430769.94961
161,3532449.58722
162,2989958.21659
163,5393689.14245
164,5035912.91451
165,4154999.76112
166,4779438.78335
167,4187323.81635
168,3915575.08044
169,4959772.52711
170,4140756.26419
171,4265335.41991
172,4006922.39487
173,3677884.11246
174,5019435.14471
175,3875368.70883
176,5025701.71143
177,4765611.42177
178,4014152.447
179,3581827.9854
180,3361761.70326
181,4673134.76145
182,5280460.9393
183,3724543.20649
184,3904119.43251
185,3692766.40066
186,4036345.07517
187,6660495.53006
188,5010687.53642
189,4575609.86448
190,4116680.62111
191,5096629.06927
192,5139105.63142
193,4584134.53039
194,3934548.76903
195,5147024.73598
196,3851131.51583
197,3691613.09381
198,4078752.25098
199,3935331.65172
200,4541723.37633
201,3727433.90837
202,4841320.75282
203,4631740.53497
204,4456224.17642
205,4267415.84431
206,4392443.40327
207,3631886.93715
208,4141682.7621
209,4039138.99901
210,5089184.0002
211,4126817.29298
212,3899835.64251
213,3362380.2132
214,4975762.29115
215,3151132.81021
216,4324388.59202
217,5103724.45086
218,4347369.67829
219,3673558.11599
220,4637740.27063
221,4140030.3291
222,5394094.5884
223,4576677.85238
224,4258502.71227
225,4408514.09564
226,4316738.7758
227,4789563.84062
228,3833450.88853
229,3745118.91143
230,4873943.45035
231,4853671.40077
232,4906716.41809
233,4251213.36706
234,4080020.28333
235,4570330.60603
236,3281651.49574
237,3648698.79693
238,4308908.05136
239,4094322.93704
240,4013640.83478
241,4297552.40665
242,3883390.95867
243,3763263.37651
244,4206333.74521
245,5861786.53933
246,4279302.98599
247,4338413.31157
248,4171844.17437
249,4286370.71823
250,3575085.76995
251,4818173.53151
252,4851969.35338
253,4301585.89371
254,3872366.23147
255,4533757.51579
256,3847853.95946
257,3964869.32869
258,3213986.59096
259,3794360.24749
260,4010280.51875
261,4547588.27474
262,4661580.20959
263,4028681.66644
264,3062821.24502
265,4646945.41055
266,4592856.93865
267,4996756.05658
268,4490422.56719
269,4036285.22475
270,3530191.67398
271,3685026.95812
272,3970535.49547
273,4993153.0283
274,3852427.93815
275,6594612.79627
276,6096282.42504
277,4450753.17771
278,4545747.05475
279,4064817.05303
280,4315039.17954
281,3999102.27592
282,3277785.89678
283,3521709.75428
284,4367261.77969
285,3140400.99704
286,4852451.48995
287,3848843.31762
288,5309436.31234
289,3728536.03229
290,3877779.73951
291,4260433.73393
292,4182849.28715
293,3954251.12368
294,3471223.90605
295,5196014.3998
296,4414263.43335
297,4949988.51126
298,3553793.2236
299,4520423.73092
300,4860801.86683
301,4703526.95079
302,4344164.63587
303,4391796.47103
304,4639051.21726
